Source,Target,Time
966169398926086151,558933247,2018-11-05 04:43:21
966169398926086151,40580714,2018-11-05 04:43:21
1047424669530214400,1002295620051374080,2018-11-05 04:43:20
1047424669530214400,4780649298,2018-11-05 04:43:20
1047424669530214400,40580714,2018-11-05 04:43:20
1047424669530214400,366987179,2018-11-05 04:43:20
1047424669530214400,366987179,2018-11-05 04:43:20
942943983453462530,775359669283885056,2018-11-05 04:43:15
746241503714934784,68311814,2018-11-05 04:43:12
3008835343,3268673450,2018-11-05 04:43:07
963085489291972608,978863778879205376,2018-11-05 04:42:50
609897891,235931838,2018-11-05 04:42:29
609897891,40580714,2018-11-05 04:42:29
142305302,142305302,2018-11-05 04:42:26
713382563914469380,736940016,2018-11-05 04:42:22
1001320418198798337,870849355426574336,2018-11-05 04:42:22
1029581379476967425,452992293,2018-11-05 04:42:20
1055650690788286465,4780649298,2018-11-05 04:42:19
1055650690788286465,40580714,2018-11-05 04:42:19
1055650690788286465,366987179,2018-11-05 04:42:19
828474812557242368,3321423907,2018-11-05 04:42:11
828474812557242368,438832278,2018-11-05 04:42:11
828474812557242368,366987179,2018-11-05 04:42:11
828474812557242368,40580714,2018-11-05 04:42:11
485571393,235931838,2018-11-05 04:42:06
485571393,40580714,2018-11-05 04:42:06
191035484,824419119248220161,2018-11-05 04:42:02
191035484,2519832906,2018-11-05 04:42:02
59998974,235931838,2018-11-05 04:41:48
59998974,40580714,2018-11-05 04:41:48
388651213,452992293,2018-11-05 04:41:48
